block,supply,timestamp
7957033,258.80739236,2019-06-14T13:21:37
7955658,258.80739236,2019-06-14T08:25:04
7954283,258.80739236,2019-06-14T03:06:27
7952908,258.80739236,2019-06-13T22:01:28
7951533,258.80739236,2019-06-13T16:56:57
7950158,258.80739236,2019-06-13T11:40:36
7948783,258.80739236,2019-06-13T06:38:47
7947408,258.80739236,2019-06-13T01:31:25
7946033,258.80739236,2019-06-12T20:17:22
7944658,258.80739236,2019-06-12T15:09:49
7943283,258.80739236,2019-06-12T10:02:45
7941908,258.80739236,2019-06-12T04:46:13
7940533,258.80739236,2019-06-11T23:39:52
7939158,258.80739236,2019-06-11T18:28:12
7937783,258.80739236,2019-06-11T13:24:54
7936408,258.80739236,2019-06-11T08:10:14
7935033,258.80739236,2019-06-11T02:58:30
7933658,258.80739236,2019-06-10T21:47:01
7932283,258.80739236,2019-06-10T16:38:25
7930908,258.80739236,2019-06-10T11:25:36
7929533,258.80739236,2019-06-10T06:15:51
7928158,258.80739236,2019-06-10T01:18:27
7926783,258.80739236,2019-06-09T20:09:06
7925408,258.80739236,2019-06-09T15:01:05
7924033,258.80739236,2019-06-09T09:51:35
7922658,258.80739236,2019-06-09T04:33:41
7921283,258.80739236,2019-06-08T23:23:23
7919908,258.80739236,2019-06-08T18:13:01
7918533,258.80739236,2019-06-08T13:07:05
7917158,258.80739236,2019-06-08T07:51:17
7915783,258.80739236,2019-06-08T02:46:07
7914408,258.80739236,2019-06-07T21:26:22
7913033,258.80739236,2019-06-07T16:16:06
7911658,258.80739236,2019-06-07T11:04:39
7910283,258.80739236,2019-06-07T05:51:41
7908908,258.80739236,2019-06-07T00:39:45
7907533,258.80739236,2019-06-06T19:23:06
7906158,258.80739236,2019-06-06T14:20:01
7904783,258.80739236,2019-06-06T09:19:02
7903408,258.80739236,2019-06-06T04:06:04
7902033,258.80739236,2019-06-05T23:04:16
7900658,258.80739236,2019-06-05T17:55:33
7899283,258.80739236,2019-06-05T12:40:24
7897908,258.80739236,2019-06-05T07:39:34
7896533,258.80739236,2019-06-05T02:19:27
7895158,258.80739236,2019-06-04T21:17:08
7893783,258.80739236,2019-06-04T16:01:14
7892408,258.80739236,2019-06-04T10:50:33
7891033,258.80739236,2019-06-04T05:47:31
7889658,258.80739236,2019-06-04T00:35:39
7888283,258.80739236,2019-06-03T19:31:17
7886908,258.80739236,2019-06-03T14:14:57
7885533,258.80739236,2019-06-03T09:03:05
7884158,258.80739236,2019-06-03T03:46:07
7882783,258.80739236,2019-06-02T22:32:08
7881408,258.80739236,2019-06-02T17:21:45
7880033,258.80739236,2019-06-02T12:14:31
7878658,258.80739236,2019-06-02T06:55:32
7877283,258.80739236,2019-06-02T01:47:38
7875908,258.80739236,2019-06-01T20:46:49
7874533,258.80739236,2019-06-01T15:39:56
7873158,258.80739236,2019-06-01T10:24:17
7871783,258.80739236,2019-06-01T05:16:00
7870408,258.80739236,2019-05-31T23:56:20
7869033,258.80739236,2019-05-31T18:52:25
7867658,258.80739236,2019-05-31T13:46:37
7866283,258.80739236,2019-05-31T08:43:01
7864908,258.80739236,2019-05-31T03:37:12
7863533,258.80739236,2019-05-30T22:19:37
7862158,258.80739236,2019-05-30T17:00:49
7860783,258.80739236,2019-05-30T11:58:50
7859408,258.80739236,2019-05-30T06:43:35
7858033,258.80739236,2019-05-30T01:27:53
7856658,258.80739236,2019-05-29T20:23:57
7855283,258.80739236,2019-05-29T15:25:34
7853908,258.80739236,2019-05-29T10:14:46
7852533,258.80739236,2019-05-29T05:14:36
7851158,258.80739236,2019-05-29T00:10:45
7849783,258.80739236,2019-05-28T19:01:19
7848408,258.80739236,2019-05-28T13:55:38
7847033,258.80739236,2019-05-28T08:45:59
7845658,258.80739236,2019-05-28T03:27:14
7844283,258.80739236,2019-05-27T22:06:56
7842908,258.80739236,2019-05-27T16:59:43
7841533,258.80739236,2019-05-27T11:49:00
7840158,258.80739236,2019-05-27T06:42:58
7838783,258.80739236,2019-05-27T01:30:46
7837408,258.80739236,2019-05-26T20:28:02
7836033,258.80739236,2019-05-26T15:28:56
7834658,258.80739236,2019-05-26T10:23:08
7833283,258.80739236,2019-05-26T05:00:30
7831908,258.80739236,2019-05-25T23:51:06
7830533,258.80739236,2019-05-25T18:50:07
7829158,258.80739236,2019-05-25T13:52:43
7827783,258.80739236,2019-05-25T08:38:42
7826408,258.80739236,2019-05-25T03:31:10
7825033,258.80739236,2019-05-24T22:32:32
7823658,258.80739236,2019-05-24T17:17:07
7822283,258.80739236,2019-05-24T12:15:44
7820908,258.80739236,2019-05-24T06:57:41
7819533,258.80739236,2019-05-24T01:51:16
7818158,258.80739236,2019-05-23T20:36:48
7816783,258.80739236,2019-05-23T15:34:31
7815408,258.80739236,2019-05-23T10:22:38
7814033,258.80739236,2019-05-23T05:03:45
7812658,258.80739236,2019-05-22T23:50:49
7811283,258.80739236,2019-05-22T18:50:24
7809908,258.80739236,2019-05-22T13:32:25
7808533,258.80739236,2019-05-22T08:28:42
7807158,258.80739236,2019-05-22T03:03:57
7805783,258.80739236,2019-05-21T22:06:44
7804408,258.80739236,2019-05-21T17:02:07
7803033,258.80739236,2019-05-21T11:40:41
7801658,258.80739236,2019-05-21T06:33:09
7800283,258.80739236,2019-05-21T01:19:12
7798908,258.80739236,2019-05-20T20:06:55
7797533,213.80739236,2019-05-20T15:02:43
7796158,213.80739236,2019-05-20T09:47:02
7794783,213.80739236,2019-05-20T04:30:44
7793408,213.80739236,2019-05-19T23:13:06
7792033,213.80739236,2019-05-19T18:11:05
7790658,213.80739236,2019-05-19T13:05:39
7789283,213.80739236,2019-05-19T07:57:43
7787908,213.80739236,2019-05-19T02:40:48
7786533,213.80739236,2019-05-18T21:25:57
7785158,213.80739236,2019-05-18T16:20:51
7783783,213.80739236,2019-05-18T11:03:25
7782408,213.80739236,2019-05-18T05:54:52
7781033,213.80739236,2019-05-18T00:49:48
7779658,213.80739236,2019-05-17T19:44:34
7778283,213.80739236,2019-05-17T14:29:16
7776908,213.80739236,2019-05-17T09:22:43
7775533,213.80739236,2019-05-17T04:12:11
7774158,213.80739236,2019-05-16T23:06:55
7772783,213.80739236,2019-05-16T18:00:14
7771408,219.80739236,2019-05-16T12:55:33
7770033,219.80739236,2019-05-16T07:42:10
7768658,219.80739236,2019-05-16T02:14:53
7767283,219.80739236,2019-05-15T21:12:08
7765908,219.80739236,2019-05-15T16:12:19
7764533,219.80739236,2019-05-15T11:04:26
7763158,219.80739236,2019-05-15T05:46:17
7761783,219.80739236,2019-05-15T00:44:36
7760408,219.80739236,2019-05-14T19:37:28
7759033,219.80739236,2019-05-14T14:37:30
7757658,219.80739236,2019-05-14T09:18:39
7756283,219.80739236,2019-05-14T04:20:53
7754908,219.80739236,2019-05-13T23:17:56
7753533,219.80739236,2019-05-13T18:13:27
7752158,219.80739236,2019-05-13T13:01:59
7750783,219.80739236,2019-05-13T07:43:00
7749408,219.80739236,2019-05-13T02:31:51
7748033,219.80739236,2019-05-12T21:22:34
7746658,219.80739236,2019-05-12T16:18:34
7745283,219.80739236,2019-05-12T11:02:52
7743908,219.80739236,2019-05-12T05:50:28
7742533,219.80739236,2019-05-12T00:54:23
7741158,219.80739236,2019-05-11T19:41:16
